morphology_class,count,avg_area_um2,std_area_um2,avg_perimeter_um,std_perimeter_um,avg_solidity,std_solidity,avg_eccentricity,std_eccentricity,avg_circularity,std_circularity,avg_complexity,std_complexity,avg_aspect_ratio,std_aspect_ratio,avg_roundness,std_roundness,avg_distance_to_tcell_um,std_distance_to_tcell_um
ameboid,70,41.1565,31.629558094447034,21.80469262920811,8.822344549178645,0.968500109756608,0.010720361167004087,0.5435039721988735,0.15151860981366555,0.9622174515900945,0.05946245977821398,3.618863627864083,0.10895236290589819,1.2454959298069535,0.18400843085694346,0.8186087482461529,0.10735576546719207,63.96998207345457,44.44984515423133
ramified,18,119.87305555555557,89.50549514304956,52.22002522482618,26.327540564320476,0.8108148020776594,0.07988068700088877,0.7619848358458172,0.15812476728855474,0.548570507374073,0.1377351496056202,4.9615642170133025,0.9033365452661909,1.8103817313861792,0.5252766499412802,0.6025795861719876,0.1768431797943013,63.33336009337555,49.3986151273852
hyperramified,72,157.74767361111108,92.70163385561824,64.26747839681259,27.226488583970358,0.7934094984342911,0.08562197355033523,0.8854915980880206,0.0715055256412006,0.456719003564594,0.09307009195969135,5.352684873103702,0.700154795183492,2.5155419980249962,0.938099219674704,0.4401186519178542,0.13071787082227684,44.63106257212307,35.485987391447836
rod,186,97.77278225806451,82.12381595696198,37.77700877758097,19.626764611020064,0.9238396200011667,0.04253276210694001,0.7342258044838068,0.13932075096020238,0.7645006425018233,0.12670103171098382,4.102280260437505,0.39191429750042284,1.6318360682279225,0.4111498198146943,0.6482278416112182,0.14595499903070625,45.524977208113775,33.023911608072616
