cell_type,centroid_x,centroid_y
tcell,231.04347826086956,28.78985507246377
tcell,1821.0,51.0
tcell,1961.6693121693122,59.957671957671955
tcell,712.9481915933529,91.47214076246334
tcell,917.9150943396227,282.9433962264151
tcell,87.69794721407625,313.0733137829912
tcell,57.4639175257732,379.77319587628864
tcell,159.5,428.5
tcell,787.9310344827586,466.58620689655174
tcell,540.7647058823529,479.3529411764706
tcell,1926.7095238095237,505.9238095238095
tcell,232.5,515.5
tcell,896.7407407407408,520.5925925925926
tcell,1896.2820512820513,524.4230769230769
tcell,1996.1666666666667,545.8055555555555
tcell,1652.552346570397,558.1768953068593
tcell,808.0,556.5
tcell,1946.1785714285713,570.3928571428571
tcell,750.6727272727272,594.1090909090909
tcell,1898.8885941644562,617.8541114058355
tcell,1168.8435114503816,627.8740458015267
tcell,1082.5,625.3333333333334
tcell,151.92909535452324,637.2567237163814
tcell,1194.5857605177994,640.5631067961165
tcell,1142.025,637.2
tcell,665.4574468085107,653.4042553191489
tcell,1931.1333333333334,666.1333333333333
tcell,1182.5,671.0
tcell,842.2976744186046,678.8232558139534
tcell,1256.5,673.5
tcell,1916.8148148148148,673.1851851851852
tcell,1452.2636363636364,705.8
tcell,1380.7391304347825,713.8695652173913
tcell,1871.4074074074074,722.2592592592592
tcell,518.8765432098766,760.0576131687243
tcell,1616.021505376344,798.5752688172043
tcell,1906.9929577464789,794.7042253521126
tcell,1573.6538461538462,847.6538461538462
tcell,1076.5,865.5
tcell,675.3888888888889,882.6111111111111
tcell,1091.375,883.15625
tcell,669.3225806451613,897.5806451612904
tcell,685.9166666666666,900.25
tcell,986.8978388998036,911.3143418467583
tcell,1015.8432432432433,965.6216216216217
tcell,1351.485294117647,981.2058823529412
tcell,1752.1044776119404,995.4427860696518
tcell,1746.641958041958,1028.5230769230768
tcell,1096.561403508772,1044.6754385964912
tcell,1116.1642335766423,1055.742700729927
tcell,1282.3235294117646,1050.7058823529412
tcell,1236.0,1050.5
tcell,1383.6216216216217,1095.6216216216217
tcell,422.01149425287355,1138.2758620689656
tcell,1997.888888888889,1147.2222222222222
tcell,580.6115107913669,1453.978417266187
tcell,1115.8063540090773,1591.5839636913768
tcell,804.7395833333334,1767.079861111111
tcell,825.2030141843971,1841.2517730496454
tcell,551.1068322981366,1844.5739130434783
tcell,1541.494011976048,1883.8443113772455
