tcell_to_nearest_iba1,tcell_to_nearest_tcell
4.166210468469794,318.37874641299055
12.04061163877075,140.95423112872018
39.06563535376293,140.95423112872018
7.473932230591604,280.4864932404779
69.20107595902532,224.99008362081312
6.174836237045055,73.23230723152844
3.4874585323897582,73.23230723152844
14.68766677862544,113.07370855684246
18.923060386187675,92.12629140034849
53.656336856755196,214.107775651589
1.447843913738906,35.609745558199215
16.88864547217621,113.56936206565572
8.548193850341843,95.73014663070825
34.28891025874711,35.609745558199215
51.20911912590035,55.707675098480095
24.07677514415997,243.15813855342066
40.80911667112992,68.56281730905884
7.797033469946634,55.707675098480095
38.45198745238502,68.56281730905884
11.730648674694992,58.05692442761252
32.20744105548367,28.393766536447156
11.68064361533213,60.69632116345923
27.79878961502831,146.00126864359004
20.29658666693619,28.69975010297811
33.074210254265815,28.393766536447156
19.591776882371608,103.81503044844177
18.757137818551765,15.960845438310239
38.68925834214413,32.74858890392393
45.04841659585705,124.78630002934243
23.799647874603846,70.12996495495574
32.96453054067348,15.960845438310239
29.889171583581994,71.97828027373521
12.590119663628636,71.97828027373521
17.195204461119072,66.85878695945641
24.507459691939413,181.2757569019687
51.09389826381292,64.83614193783005
33.94609486498991,80.71309995985328
13.375838997514432,64.83614193783005
8.753148026128118,23.086983108723842
39.67093623000099,16.151998185592827
25.88378030146539,23.086983108723842
41.21036305967083,16.151998185592827
27.690936563775608,16.807413428129262
17.508991158849465,61.53955694632922
23.208031075994118,61.53955694632922
12.79708829872389,98.0489658141882
50.452188768195704,33.528268118106475
26.850416202308377,33.528268118106475
40.20844816593304,22.511224706798764
22.60635481812862,22.511224706798764
17.039487264830655,46.32398692584519
29.13900657115626,46.32398692584519
13.289308842511046,110.80941800861866
79.08659802617856,345.1042753933461
28.584314323065154,277.8749851187581
19.206277348291245,353.30166798936153
4.967733586840346,357.15731244060197
20.39042190599308,76.94299528101281
10.371745166677504,76.94299528101281
19.12970308671551,265.2072783363581
31.7314465673443,516.3584926917242
