cell_id,cell_type,centroid_x,centroid_y,area,perimeter,solidity,eccentricity,morphology_class,has_nuclei,nuclei_count,avg_nuclear_qki,avg_cytoplasmic_qki,avg_nc_ratio,morph_area,morph_perimeter,morph_solidity,morph_circularity,morph_complexity,morph_eccentricity,morph_roundness,morph_aspect_ratio,morph_extent,morph_centroid_y,morph_centroid_x,nucleus_1_nuclear_qki,nucleus_1_cytoplasmic_qki,nucleus_1_nc_ratio,nucleus_1_x,nucleus_1_y,nucleus_2_nuclear_qki,nucleus_2_cytoplasmic_qki,nucleus_2_nc_ratio,nucleus_2_x,nucleus_2_y,nucleus_3_nuclear_qki,nucleus_3_cytoplasmic_qki,nucleus_3_nc_ratio,nucleus_3_x,nucleus_3_y,nucleus_4_nuclear_qki,nucleus_4_cytoplasmic_qki,nucleus_4_nc_ratio,nucleus_4_x,nucleus_4_y,nucleus_5_nuclear_qki,nucleus_5_cytoplasmic_qki,nucleus_5_nc_ratio,nucleus_5_x,nucleus_5_y
2,iba1,165.2622950819672,1.721311475409836,61.0,48.82842712474619,0.8591549295774648,0.9955307825138351,artifact,False,0,0.0,0.0,0.0,61.0,48.82842712474619,0.8591549295774648,0.32150981034733356,6.251839461083289,0.9955307825138351,0.0944376040959908,10.589002226100032,0.782051282051282,1.721311475409836,165.2622950819672,,,,,,,,,,,,,,,,,,,,,,,,,
43,iba1,50.12807745504841,190.41742738589213,3615.0,374.53405460951757,0.754854875756943,0.980078950926955,artifact,False,0,0.0,0.0,0.0,3615.0,374.53405460951757,0.754854875756943,0.3238437660108792,6.22927008776688,0.980078950926955,0.19860828268206618,5.035036739131411,0.29811974270163283,190.41742738589213,50.12807745504841,,,,,,,,,,,,,,,,,,,,,,,,,
59,iba1,1581.3162055335968,216.68548842461885,1771.0,166.36753236814712,0.9651226158038148,0.7626726940935771,artifact,True,1,0.0,0.0,0.0,1771.0,166.36753236814712,0.9651226158038148,0.80406521654561,3.9532956486647723,0.7626726940935771,0.6467846331539154,1.5461097075292292,0.7146892655367231,216.68548842461885,1581.3162055335968,0.0,0.0,inf,1581.4516129032259,219.19354838709677,,,,,,,,,,,,,,,,,,,,
65,iba1,1383.4607530312699,251.5137204850032,1567.0,164.22539674441617,0.9666872301048736,0.8709068859065042,artifact,False,0,0.0,0.0,0.0,1567.0,164.22539674441617,0.9666872301048736,0.7301266841652759,4.148640679406799,0.8709068859065042,0.4914480604098821,2.0348030250968345,0.76513671875,251.5137204850032,1383.4607530312699,,,,,,,,,,,,,,,,,,,,,,,,,
104,iba1,219.14493895234344,505.16226860968885,2539.0,192.95331880577402,0.9709369024856597,0.6952650816970091,artifact,False,0,0.0,0.0,0.0,2539.0,192.95331880577402,0.9709369024856597,0.8569748154583653,3.829313320089105,0.6952650816970091,0.7187534112425842,1.3912977446203636,0.8014520202020202,505.16226860968885,219.14493895234344,,,,,,,,,,,,,,,,,,,,,,,,,
134,iba1,170.2642029784887,616.3618312189741,1813.0,171.1959594928933,0.9731615673644659,0.8403275646770311,artifact,True,2,44.13461538461539,60.39473684210526,0.7307692307692308,1813.0,171.1959594928933,0.9731615673644659,0.7773572392129287,4.020634624485804,0.8403275646770311,0.5420789463205244,1.8447497486993576,0.6867424242424242,616.3618312189741,170.2642029784887,88.26923076923077,120.78947368421052,0.7307692307692308,166.28846153846155,620.4038461538462,0.0,0.0,inf,155.35955056179776,639.1123595505618,,,,,,,,,,,,,,,
141,iba1,1213.5188803802482,647.8766833905466,3787.0,388.7350647362943,0.7922594142259414,0.8756819356934845,artifact,True,1,0.0,0.0,0.0,3787.0,388.7350647362943,0.7922594142259414,0.31491818209668465,6.316929996677453,0.8756819356934845,0.4828883385422679,2.070872125466473,0.5123106060606061,647.8766833905466,1213.5188803802482,0.0,0.0,inf,1189.9777777777779,653.179797979798,,,,,,,,,,,,,,,,,,,,
148,iba1,1795.0212474297464,652.5366689513365,1459.0,145.88225099390857,0.9694352159468439,0.6725557528012849,artifact,False,0,0.0,0.0,0.0,1459.0,145.88225099390857,0.9694352159468439,0.8615098435252992,3.819221179075869,0.6725557528012849,0.7400464575781016,1.3512665181489147,0.7528379772961816,652.5366689513365,1795.0212474297464,,,,,,,,,,,,,,,,,,,,,,,,,
155,iba1,1464.9150219298247,678.7203947368421,1824.0,165.88225099390857,0.9519832985386222,0.6391631141143371,artifact,True,2,12.65625,26.64179104477612,0.47505252100840334,1824.0,165.88225099390857,0.9519832985386222,0.8329805445282724,3.884074066853203,0.6391631141143371,0.7690712018764342,1.3002697247798767,0.7463175122749591,678.7203947368421,1464.9150219298247,25.3125,53.28358208955224,0.47505252100840334,1469.6801470588234,670.8014705882352,0.0,0.0,inf,1456.0222222222221,694.0666666666667,,,,,,,,,,,,,,,
232,iba1,1279.87219578518,1033.8436437797416,1471.0,149.63961030678928,0.9564369310793238,0.640763958310297,artifact,True,2,0.0,0.0,0.0,1471.0,149.63961030678928,0.9564369310793238,0.8255234219542119,3.901577447089945,0.640763958310297,0.767737943396391,1.3025277812584153,0.7633627400103788,1033.8436437797416,1279.87219578518,0.0,0.0,inf,1266.767857142857,1042.3214285714287,0.0,0.0,inf,1290.5744680851064,1046.1702127659576,,,,,,,,,,,,,,,
