metric,min,max,mean,median,std
area,15.0,496.0,89.26829268292683,52.0,99.50181378178772
nuclear_qki,0.0,255.0,27.797459932316006,0.0,61.94742301592652
cytoplasmic_qki,0.0,255.0,18.892839612947437,0.0,48.17688295283291
nc_ratio,0.0,16.136363636363637,1.9658052484942294,1.2746305418719213,2.7018222554860434
