macrophage_id,centroid_x,centroid_y,morphology_classification,area_pixels,perimeter_pixels,major_axis_length_pixels,minor_axis_length_pixels,area_um2,perimeter_um,major_axis_length_um,minor_axis_length_um,solidity,eccentricity,circularity,complexity,aspect_ratio,roundness,extent,morph_area,morph_perimeter,morph_solidity,morph_circularity,morph_complexity,morph_eccentricity,morph_roundness,morph_aspect_ratio,morph_extent,has_nuclei,nuclei_count,distance_to_closest_tcell_pixels,distance_to_closest_tcell_um,closest_tcell_id,closest_tcell_area_pixels,closest_tcell_perimeter_pixels,closest_tcell_major_axis_length_pixels,closest_tcell_minor_axis_length_pixels,closest_tcell_area_um2,closest_tcell_perimeter_um,closest_tcell_major_axis_length_um,closest_tcell_minor_axis_length_um,closest_tcell_solidity,closest_tcell_eccentricity,closest_tcell_circularity,closest_tcell_aspect_ratio,closest_tcell_roundness
1,135.59036144578315,2.9156626506024095,hyperramified,83.0,42.48528137423857,20.201871455431398,5.91314157050603,10.167499999999999,14.869848480983498,7.070655009400989,2.0695995496771107,0.9021739130434783,0.9562035092662297,0.5778444663290642,4.66336547049707,3.416436291022638,0.29270266289691915,0.7280701754385965,83.0,42.48528137423857,0.9021739130434783,0.5778444663290642,4.66336547049707,0.9562035092662297,0.29270266289691915,3.416436291022638,0.7280701754385965,False,0,98.89778229666246,34.614223803831855,1,414.0,75.94112549695427,24.84248416708596,21.446442810045557,50.714999999999996,26.579393923933992,8.694869458480085,7.5062549835159444,0.9517241379310345,0.5046961831082879,0.902103040067883,1.1583498665545453,0.8632970304338625
2,165.2622950819672,1.721311475409836,artifact,61.0,48.82842712474619,29.29060379036817,2.7661344444873164,7.472499999999999,17.089949493661166,10.25171132662886,0.9681470555705607,0.8591549295774648,0.9955307825138351,0.32150981034733356,6.251839461083289,10.589002226100032,0.0944376040959908,0.782051282051282,61.0,48.82842712474619,0.8591549295774648,0.32150981034733356,6.251839461083289,0.9955307825138351,0.0944376040959908,10.589002226100032,0.782051282051282,False,0,71.13276399017485,24.896467396561196,1,414.0,75.94112549695427,24.84248416708596,21.446442810045557,50.714999999999996,26.579393923933992,8.694869458480085,7.5062549835159444,0.9517241379310345,0.5046961831082879,0.902103040067883,1.1583498665545453,0.8632970304338625
3,227.1934023285899,27.197930142302717,rod,1546.0,171.39696961967,62.43379928344444,34.1669831317487,189.38499999999996,59.988939366884495,21.851829749205553,11.958444096112045,0.8869764773379232,0.836968291849657,0.6613221596970528,4.35911568072996,1.8273137854371932,0.5472513850491997,0.6895628902765388,1546.0,171.39696961967,0.8869764773379232,0.6613221596970528,4.35911568072996,0.836968291849657,0.5472513850491997,1.8273137854371932,0.6895628902765388,True,1,4.166210468469794,1.4581736639644278,1,414.0,75.94112549695427,24.84248416708596,21.446442810045557,50.714999999999996,26.579393923933992,8.694869458480085,7.5062549835159444,0.9517241379310345,0.5046961831082879,0.902103040067883,1.1583498665545453,0.8632970304338625
4,312.80493827160495,7.817283950617284,rod,405.0,84.52691193458118,30.04881731697317,18.984196169547545,49.61249999999999,29.58441917710341,10.51708606094061,6.644468659341641,0.9529411764705882,0.7751489860402032,0.7123195784702058,4.200176022530261,1.582833270822092,0.6317784813056273,0.6661184210526315,405.0,84.52691193458118,0.9529411764705882,0.7123195784702058,4.200176022530261,0.7751489860402032,0.6317784813056273,1.582833270822092,0.6661184210526315,False,0,84.40844200995534,29.542954703484366,1,414.0,75.94112549695427,24.84248416708596,21.446442810045557,50.714999999999996,26.579393923933992,8.694869458480085,7.5062549835159444,0.9517241379310345,0.5046961831082879,0.902103040067883,1.1583498665545453,0.8632970304338625
5,418.45926372963186,19.362703681351842,hyperramified,1657.0,222.7523086789974,65.37380330406032,46.22924917841003,202.9825,77.96330803764909,22.88083115642111,16.180237212443508,0.7410554561717353,0.7070610481351509,0.41965069300002833,5.472187373810194,1.41412210810015,0.7071525112802909,0.5202511773940345,1657.0,222.7523086789974,0.7410554561717353,0.41965069300002833,5.472187373810194,0.7070610481351509,0.7071525112802909,1.41412210810015,0.5202511773940345,True,1,187.65273199776252,65.67845619921688,1,414.0,75.94112549695427,24.84248416708596,21.446442810045557,50.714999999999996,26.579393923933992,8.694869458480085,7.5062549835159444,0.9517241379310345,0.5046961831082879,0.902103040067883,1.1583498665545453,0.8632970304338625
6,808.7358490566038,2.6792452830188678,rod,53.0,29.071067811865476,13.321349913411993,5.270587019928052,6.492499999999999,10.174873734152916,4.6624724696941975,1.844705456974818,0.9636363636363636,0.9184015346563673,0.788068131049115,3.993218269228423,2.5274888476452553,0.39564961915921165,0.8153846153846154,53.0,29.071067811865476,0.9636363636363636,0.788068131049115,3.993218269228423,0.9184015346563673,0.39564961915921165,2.5274888476452553,0.8153846153846154,False,0,130.6118432988396,45.71414515459386,4,1023.0,123.05382386916237,40.00585289510583,33.374036634627366,125.31749999999998,43.068838354206825,14.00204851328704,11.680912822119577,0.9542910447761194,0.5514183771272703,0.8489757201474484,1.1987118409763355,0.8342288495169221
7,841.824427480916,4.091603053435114,rod,131.0,47.89949493661167,20.704388662873107,8.460869755421104,16.0475,16.764823227814084,7.246536032005587,2.9613044143973863,0.9632352941176471,0.9126907118891434,0.7174956814077097,4.184998303813246,2.4470756862327607,0.4086510301360912,0.8618421052631579,131.0,47.89949493661167,0.9632352941176471,0.7174956814077097,4.184998303813246,0.9126907118891434,0.4086510301360912,2.4470756862327607,0.8618421052631579,False,0,155.70627009489925,54.49719453321474,4,1023.0,123.05382386916237,40.00585289510583,33.374036634627366,125.31749999999998,43.068838354206825,14.00204851328704,11.680912822119577,0.9542910447761194,0.5514183771272703,0.8489757201474484,1.1987118409763355,0.8342288495169221
8,1085.0,9.698,rod,500.0,87.21320343559643,29.873801436081386,22.376074806756918,61.24999999999999,30.524621202458746,10.455830502628485,7.8316261823649205,0.9727626459143969,0.6625473845973694,0.8260672233219234,3.900293028350236,1.335077831750025,0.7490200018445339,0.8210180623973727,500.0,87.21320343559643,0.9727626459143969,0.8260672233219234,3.900293028350236,0.6625473845973694,0.7490200018445339,1.335077831750025,0.8210180623973727,False,0,320.28177010012257,112.09861953504289,5,106.0,40.970562748477136,17.23114439129834,8.138907196278764,12.984999999999998,14.339696961966997,6.030900536954419,2.848617518697567,0.954954954954955,0.8814180338075426,0.7935455687775086,2.1171324326165912,0.47233700858480876
9,1163.2638036809815,30.601784718349137,hyperramified,1793.0,206.61017305526642,66.38101454200263,42.31655749195515,219.64249999999998,72.31356056934324,23.23335508970092,14.810795122184302,0.8347299813780261,0.7704670489495499,0.5278211038984073,4.879345338970843,1.5686770965389234,0.6374798243732674,0.5373089601438418,1793.0,206.61017305526642,0.8347299813780261,0.5278211038984073,4.879345338970843,0.7704670489495499,0.6374798243732674,1.5686770965389234,0.5373089601438418,True,2,351.9549375615552,123.18422814654431,5,106.0,40.970562748477136,17.23114439129834,8.138907196278764,12.984999999999998,14.339696961966997,6.030900536954419,2.848617518697567,0.954954954954955,0.8814180338075426,0.7935455687775086,2.1171324326165912,0.47233700858480876
10,1213.5849056603774,12.44743935309973,rod,371.0,77.1126983722081,28.963558046072777,16.896822927894345,45.44749999999999,26.989444430272833,10.13724531612547,5.91388802476302,0.9298245614035088,0.8121977964030369,0.7840287216885062,4.003491821666935,1.7141422484967812,0.5833821556390382,0.6721014492753623,371.0,77.1126983722081,0.9298245614035088,0.7840287216885062,4.003491821666935,0.8121977964030369,0.5833821556390382,1.7141422484967812,0.6721014492753623,False,0,400.73519936644095,140.25731977825433,5,106.0,40.970562748477136,17.23114439129834,8.138907196278764,12.984999999999998,14.339696961966997,6.030900536954419,2.848617518697567,0.954954954954955,0.8814180338075426,0.7935455687775086,2.1171324326165912,0.47233700858480876
