cell_id,cell_type,centroid_x,centroid_y,area,perimeter,solidity,eccentricity,morphology_class,has_nuclei,nuclei_count,avg_nuclear_qki,avg_cytoplasmic_qki,avg_nc_ratio,morph_area,morph_perimeter,morph_solidity,morph_circularity,morph_complexity,morph_eccentricity,morph_roundness,morph_aspect_ratio,morph_extent,morph_centroid_y,morph_centroid_x,nucleus_1_nuclear_qki,nucleus_1_cytoplasmic_qki,nucleus_1_nc_ratio,nucleus_1_x,nucleus_1_y,nucleus_2_nuclear_qki,nucleus_2_cytoplasmic_qki,nucleus_2_nc_ratio,nucleus_2_x,nucleus_2_y,nucleus_3_nuclear_qki,nucleus_3_cytoplasmic_qki,nucleus_3_nc_ratio,nucleus_3_x,nucleus_3_y,nucleus_4_nuclear_qki,nucleus_4_cytoplasmic_qki,nucleus_4_nc_ratio,nucleus_4_x,nucleus_4_y,nucleus_5_nuclear_qki,nucleus_5_cytoplasmic_qki,nucleus_5_nc_ratio,nucleus_5_x,nucleus_5_y
3,iba1,227.1934023285899,27.197930142302717,1546.0,171.39696961967,0.8869764773379232,0.836968291849657,rod,True,1,0.0,5.204081632653061,0.0,1546.0,171.39696961967,0.8869764773379232,0.6613221596970528,4.35911568072996,0.836968291849657,0.5472513850491997,1.8273137854371932,0.6895628902765388,27.197930142302717,227.1934023285899,0.0,5.204081632653061,0.0,231.23026315789474,28.361842105263158,,,,,,,,,,,,,,,,,,,,
4,iba1,312.80493827160495,7.817283950617284,405.0,84.52691193458118,0.9529411764705882,0.7751489860402032,rod,False,0,0.0,0.0,0.0,405.0,84.52691193458118,0.9529411764705882,0.7123195784702058,4.200176022530261,0.7751489860402032,0.6317784813056273,1.582833270822092,0.6661184210526315,7.817283950617284,312.80493827160495,,,,,,,,,,,,,,,,,,,,,,,,,
6,iba1,808.7358490566038,2.6792452830188678,53.0,29.071067811865476,0.9636363636363636,0.9184015346563673,rod,False,0,0.0,0.0,0.0,53.0,29.071067811865476,0.9636363636363636,0.788068131049115,3.993218269228423,0.9184015346563673,0.39564961915921165,2.5274888476452553,0.8153846153846154,2.6792452830188678,808.7358490566038,,,,,,,,,,,,,,,,,,,,,,,,,
7,iba1,841.824427480916,4.091603053435114,131.0,47.89949493661167,0.9632352941176471,0.9126907118891434,rod,False,0,0.0,0.0,0.0,131.0,47.89949493661167,0.9632352941176471,0.7174956814077097,4.184998303813246,0.9126907118891434,0.4086510301360912,2.4470756862327607,0.8618421052631579,4.091603053435114,841.824427480916,,,,,,,,,,,,,,,,,,,,,,,,,
8,iba1,1085.0,9.698,500.0,87.21320343559643,0.9727626459143969,0.6625473845973694,rod,False,0,0.0,0.0,0.0,500.0,87.21320343559643,0.9727626459143969,0.8260672233219234,3.900293028350236,0.6625473845973694,0.7490200018445339,1.335077831750025,0.8210180623973727,9.698,1085.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,iba1,1213.5849056603774,12.44743935309973,371.0,77.1126983722081,0.9298245614035088,0.8121977964030369,rod,False,0,0.0,0.0,0.0,371.0,77.1126983722081,0.9298245614035088,0.7840287216885062,4.003491821666935,0.8121977964030369,0.5833821556390382,1.7141422484967812,0.6721014492753623,12.44743935309973,1213.5849056603774,,,,,,,,,,,,,,,,,,,,,,,,,
13,iba1,1585.2677304964539,9.078014184397164,564.0,93.79898987322332,0.9757785467128027,0.8271085278436134,rod,False,0,0.0,0.0,0.0,564.0,93.79898987322332,0.9757785467128027,0.8055502654194793,3.949649975791699,0.8271085278436134,0.5620422432240931,1.7792256935414867,0.8730650154798762,9.078014184397164,1585.2677304964539,,,,,,,,,,,,,,,,,,,,,,,,,
14,iba1,1702.2809839167455,22.44938505203406,1057.0,141.25483399593904,0.9018771331058021,0.867323955625538,rod,False,0,0.0,0.0,0.0,1057.0,141.25483399593904,0.9018771331058021,0.665699473014044,4.34476033974929,0.867323955625538,0.4977440667633014,2.00906463135309,0.7254632807137955,22.44938505203406,1702.2809839167455,,,,,,,,,,,,,,,,,,,,,,,,,
17,iba1,26.011834319526628,20.227810650887573,676.0,115.39696961966999,0.8883048620236531,0.8426925787905835,rod,False,0,0.0,0.0,0.0,676.0,115.39696961966999,0.8883048620236531,0.6379222521758868,4.438344985371923,0.8426925787905835,0.5383950386577465,1.8573722419379355,0.5827586206896551,20.227810650887573,26.011834319526628,,,,,,,,,,,,,,,,,,,,,,,,,
21,iba1,1768.5882352941176,38.36274509803921,306.0,68.87005768508881,0.9503105590062112,0.8560931916162788,rod,False,0,0.0,0.0,0.0,306.0,68.87005768508881,0.9503105590062112,0.8107190854078155,3.9370391505585665,0.8560931916162788,0.5168214849135563,1.9349040804045914,0.7555555555555556,38.36274509803921,1768.5882352941176,,,,,,,,,,,,,,,,,,,,,,,,,
23,iba1,1994.9252873563219,39.45977011494253,174.0,58.142135623730944,0.9830508474576272,0.9438348771957984,rod,False,0,0.0,0.0,0.0,174.0,58.142135623730944,0.9830508474576272,0.6468106358610662,4.40774392658497,0.9438348771957984,0.3304175004275532,3.026474078116387,0.8365384615384616,39.45977011494253,1994.9252873563219,,,,,,,,,,,,,,,,,,,,,,,,,
