x,y,area,nuclear_qki,cytoplasmic_qki,nc_ratio
1441.3826291079813,12.80281690140845,426,0.0,0.0,inf
1308.9333333333334,10.666666666666666,15,0.0,0.0,inf
1145.8666666666666,13.3,30,0.0,0.0,inf
231.23026315789474,28.361842105263158,152,0.0,5.204081632653061,0.0
1151.5555555555557,25.444444444444443,27,0.0,0.0,inf
396.6666666666667,24.055555555555557,18,0.0,0.0,inf
1012.3205128205128,49.62307692307692,390,72.57692307692308,17.586206896551722,4.126923076923077
1825.078125,57.140625,64,0.0,0.0,inf
589.0727272727273,60.29090909090909,110,20.863636363636363,11.86046511627907,1.759090909090909
46.46153846153846,59.82692307692308,52,0.0,0.0,inf
482.63313609467457,69.14201183431953,169,0.0,0.0,inf
1819.5833333333333,65.63888888888889,36,0.0,0.0,inf
1804.55,75.6,20,0.0,0.0,inf
114.84883720930233,95.63372093023256,172,0.0,0.0,inf
716.2564102564103,93.15384615384616,39,0.0,0.0,inf
687.2222222222222,97.0,36,0.0,0.0,inf
1283.5569620253164,106.59493670886076,79,0.0,0.0,inf
633.1875,114.9375,16,159.375,104.31818181818181,1.527777777777778
1341.3793103448277,118.89655172413794,29,0.0,0.0,inf
1253.66,125.62,50,0.0,0.0,inf
1358.8103448275863,123.79310344827586,58,101.12068965517241,79.33333333333333,1.2746305418719213
767.6346153846154,154.30769230769232,52,0.0,0.0,inf
1139.0677966101696,162.1864406779661,295,0.0,0.0,inf
742.275,163.70625,160,0.0,0.0,inf
1127.3684210526317,171.26315789473685,19,0.0,0.0,inf
1029.2777777777778,180.22222222222223,18,0.0,0.0,inf
1028.989010989011,195.71428571428572,91,0.0,0.0,inf
1059.8333333333333,205.05555555555554,18,0.0,0.0,inf
1581.4516129032259,219.19354838709677,93,0.0,0.0,inf
312.90909090909093,216.95454545454547,22,0.0,0.0,inf
840.1648351648352,232.13186813186815,91,0.0,0.0,inf
785.7137096774194,261.59879032258067,496,23.649193548387096,25.73394495412844,0.9189882697947214
541.0212765957447,242.04255319148936,47,0.0,0.0,inf
1258.16,241.12,25,0.0,0.0,inf
828.2456140350877,278.0877192982456,57,0.0,0.0,inf
662.1756756756756,285.35135135135135,74,0.0,0.0,inf
82.98064516129033,312.9182795698925,465,0.0,0.0,inf
123.19607843137256,324.27450980392155,51,0.0,0.0,inf
1983.121212121212,336.2121212121212,33,0.0,0.0,inf
460.5483870967742,339.61290322580646,31,0.0,0.0,inf
1809.3706896551723,417.62068965517244,116,0.0,0.0,inf
1879.0,455.5977011494253,87,0.0,0.0,inf
115.0,462.4646464646465,99,0.0,0.0,inf
842.7450980392157,499.84313725490193,51,0.0,7.285714285714286,0.0
1356.3173076923076,514.7211538461538,104,0.0,0.0,inf
857.0384615384615,517.2692307692307,26,0.0,0.0,inf
1521.592105263158,540.3717105263158,304,94.78618421052632,0.0,inf
937.1428571428571,561.5714285714286,21,0.0,0.0,inf
1961.2631578947369,563.1578947368421,19,0.0,0.0,inf
1957.0454545454545,573.5909090909091,22,0.0,0.0,inf
825.1466666666666,586.3466666666667,75,23.8,50.089285714285715,0.47515151515151516
58.72727272727273,593.5454545454545,33,0.0,0.0,inf
1120.9354838709678,605.7741935483871,31,0.0,0.0,inf
825.9473684210526,607.0526315789474,19,0.0,0.0,inf
166.28846153846155,620.4038461538462,52,88.26923076923077,120.78947368421052,0.7307692307692308
155.35955056179776,639.1123595505618,89,0.0,0.0,inf
1189.9777777777779,653.179797979798,495,0.0,0.0,inf
1469.6801470588234,670.8014705882352,272,25.3125,53.28358208955224,0.47505252100840334
893.65625,670.8125,64,0.0,0.0,inf
1456.0222222222221,694.0666666666667,90,0.0,0.0,inf
1899.256,725.824,125,18.36,29.651162790697676,0.6192
1856.1951219512196,734.9756097560976,41,0.0,26.379310344827587,0.0
1865.72,744.4,25,0.0,0.0,inf
618.0697674418604,767.8372093023256,43,0.0,0.0,inf
700.2941176470588,770.9705882352941,34,0.0,0.0,inf
1023.1278538812785,794.6986301369863,219,0.0,0.0,inf
1147.842105263158,797.2105263157895,19,0.0,0.0,inf
1144.3098591549297,805.6338028169014,71,0.0,0.0,inf
599.6428571428571,818.1785714285714,56,0.0,14.166666666666666,0.0
608.574074074074,816.7592592592592,54,9.444444444444445,6.7105263157894735,1.4074074074074074
1475.572033898305,831.9067796610169,236,140.46610169491527,32.21052631578947,4.3608757062146895
1459.04,840.88,25,0.0,0.0,inf
1068.7058823529412,847.4705882352941,17,0.0,0.0,inf
1066.2494669509595,866.317697228145,469,0.0,0.0,inf
1806.5313807531381,912.3598326359833,239,89.6234309623431,0.0,inf
722.4025974025974,917.2467532467532,77,0.0,0.0,inf
732.2,921.2,25,0.0,0.0,inf
1361.1703296703297,932.2912087912088,182,166.73076923076923,53.51851851851852,3.1153846153846154
1602.3066666666666,939.0533333333333,75,0.0,0.0,inf
1330.5,967.5,16,0.0,0.0,inf
1013.7142857142857,967.8857142857142,35,0.0,0.0,inf
1828.3181818181818,970.8181818181819,22,255.0,255.0,1.0
1012.9291338582677,981.2244094488188,254,0.0,0.0,inf
1538.0740740740741,988.8888888888889,81,0.0,5.666666666666667,0.0
1238.235294117647,989.6470588235294,17,0.0,0.0,inf
1665.2,1000.95,20,0.0,0.0,inf
909.8181818181819,1001.0,22,0.0,0.0,inf
1266.767857142857,1042.3214285714287,56,0.0,0.0,inf
1290.5744680851064,1046.1702127659576,47,0.0,0.0,inf
1125.1176470588234,1057.764705882353,17,0.0,0.0,inf
722.125,1065.375,16,255.0,255.0,1.0
1132.235294117647,1066.764705882353,17,0.0,0.0,inf
1116.1966292134832,1079.7134831460673,178,0.0,0.0,inf
733.5511811023622,1077.2047244094488,127,0.0,0.0,inf
757.8,1081.1333333333334,15,0.0,0.0,inf
1373.7739130434782,1085.8608695652174,115,0.0,0.0,inf
1639.357142857143,1121.4642857142858,28,0.0,0.0,inf
510.09638554216866,1138.0361445783133,83,0.0,0.0,inf
1421.1612903225807,1135.967741935484,31,213.8709677419355,165.0,1.2961876832844574
1954.0,1137.375,16,0.0,0.0,inf
1422.7228915662652,1147.1084337349398,83,215.06024096385542,171.26865671641792,1.255689424364123
1410.3125,1145.1875,16,0.0,0.0,inf
1994.6666666666667,1153.6666666666667,42,0.0,0.0,inf
1564.5,1158.1,30,0.0,0.0,inf
1563.5833333333333,1192.7833333333333,60,0.0,0.0,inf
