cell_id,cell_type,centroid_x,centroid_y,area,perimeter,solidity,eccentricity,morphology_class,has_nuclei,nuclei_count,avg_nuclear_qki,avg_cytoplasmic_qki,avg_nc_ratio,morph_area,morph_perimeter,morph_solidity,morph_circularity,morph_complexity,morph_eccentricity,morph_roundness,morph_aspect_ratio,morph_extent,morph_centroid_y,morph_centroid_x,nucleus_1_nuclear_qki,nucleus_1_cytoplasmic_qki,nucleus_1_nc_ratio,nucleus_1_x,nucleus_1_y,nucleus_2_nuclear_qki,nucleus_2_cytoplasmic_qki,nucleus_2_nc_ratio,nucleus_2_x,nucleus_2_y,nucleus_3_nuclear_qki,nucleus_3_cytoplasmic_qki,nucleus_3_nc_ratio,nucleus_3_x,nucleus_3_y,nucleus_4_nuclear_qki,nucleus_4_cytoplasmic_qki,nucleus_4_nc_ratio,nucleus_4_x,nucleus_4_y,nucleus_5_nuclear_qki,nucleus_5_cytoplasmic_qki,nucleus_5_nc_ratio,nucleus_5_x,nucleus_5_y
11,iba1,1438.5062761506276,16.723849372384937,1195.0,161.1543289325507,0.8603311735061195,0.9061875620764753,ramified,True,1,0.0,0.0,0.0,1195.0,161.1543289325507,0.8603311735061195,0.5782209424529201,4.661847078915961,0.9061875620764753,0.42287598931352705,2.3647594691373786,0.5872235872235873,16.723849372384937,1438.5062761506276,0.0,0.0,inf,1441.3826291079813,12.80281690140845,,,,,,,,,,,,,,,,,,,,
16,iba1,1311.2445652173913,16.608695652173914,184.0,61.798989873223334,0.8598130841121495,0.929169764615992,ramified,True,1,0.0,0.0,0.0,184.0,61.798989873223334,0.8598130841121495,0.6054313898954207,4.555881977652364,0.929169764615992,0.3696532814996534,2.7052377188241943,0.8,16.608695652173914,1311.2445652173913,0.0,0.0,inf,1308.9333333333334,10.666666666666666,,,,,,,,,,,,,,,,,,,,
24,iba1,1639.1513353115727,43.4080118694362,674.0,117.49747468305831,0.8403990024937655,0.8892630531503127,ramified,False,0,0.0,0.0,0.0,674.0,117.49747468305831,0.8403990024937655,0.6134973558970251,4.525833621082525,0.8892630531503127,0.45739613280151803,2.18628870750409,0.5574855252274608,43.4080118694362,1639.1513353115727,,,,,,,,,,,,,,,,,,,,,,,,,
31,iba1,650.131221719457,70.49773755656109,221.0,65.45584412271572,0.8435114503816794,0.9027128668445168,ramified,False,0,0.0,0.0,0.0,221.0,65.45584412271572,0.8435114503816794,0.6481944107280537,4.403036554941429,0.9027128668445168,0.4302435124825866,2.324265145172813,0.68,70.49773755656109,650.131221719457,,,,,,,,,,,,,,,,,,,,,,,,,
41,iba1,1235.4173333333333,121.75733333333334,750.0,120.32590180780451,0.8542141230068337,0.8813029457480245,ramified,True,1,0.0,0.0,0.0,750.0,120.32590180780451,0.8542141230068337,0.6509578624056582,4.393680711485745,0.8813029457480245,0.4725517091449936,2.1161705283202537,0.5952380952380952,121.75733333333334,1235.4173333333333,0.0,0.0,inf,1253.66,125.62,,,,,,,,,,,,,,,,,,,,
55,iba1,431.4123076923077,199.96615384615384,325.0,82.04163056034263,0.8441558441558441,0.90579782798975,ramified,False,0,0.0,0.0,0.0,325.0,82.04163056034263,0.8441558441558441,0.6067707798972641,4.550850857045981,0.90579782798975,0.4237101542435009,2.3601039295020354,0.58983666061706,199.96615384615384,431.4123076923077,,,,,,,,,,,,,,,,,,,,,,,,,
92,iba1,1752.1145374449338,398.51762114537445,454.0,131.49747468305833,0.5880829015544041,0.6335183069466055,ramified,False,0,0.0,0.0,0.0,454.0,131.49747468305833,0.5880829015544041,0.3299369016273208,6.171482277204145,0.6335183069466055,0.7737277006567017,1.292444356265453,0.4892241379310345,398.51762114537445,1752.1145374449338,,,,,,,,,,,,,,,,,,,,,,,,,
106,iba1,1925.8789743589743,507.1097435897436,1950.0,278.82947314527274,0.7006827164929932,0.49416641984816506,ramified,False,0,0.0,0.0,0.0,1950.0,278.82947314527274,0.7006827164929932,0.31518614548006096,6.314244177700593,0.49416641984816506,0.8693673271376416,1.1502617694323312,0.560183855214019,507.1097435897436,1925.8789743589743,,,,,,,,,,,,,,,,,,,,,,,,,
122,iba1,1676.5032967032967,560.6351648351648,455.0,92.18376618407358,0.8633776091081594,0.7672150852485291,ramified,False,0,0.0,0.0,0.0,455.0,92.18376618407358,0.8633776091081594,0.6728408735965828,4.321641616223724,0.7672150852485291,0.641389907129113,1.5591140254701545,0.6463068181818182,560.6351648351648,1676.5032967032967,,,,,,,,,,,,,,,,,,,,,,,,,
181,iba1,605.4736467236468,816.6438746438746,1404.0,170.71067811865476,0.8493647912885662,0.7407433722403737,ramified,True,2,4.722222222222222,10.43859649122807,0.7037037037037037,1404.0,170.71067811865476,0.8493647912885662,0.6054183732572133,4.555930953659113,0.7407433722403737,0.6717881038556422,1.488564614735848,0.624,816.6438746438746,605.4736467236468,0.0,14.166666666666666,0.0,599.6428571428571,818.1785714285714,9.444444444444445,6.7105263157894735,1.4074074074074074,608.574074074074,816.7592592592592,,,,,,,,,,,,,,,
